text,label,source
wales want rugby league training wales could follow england s lead by training with a rugby,sport,bbc
china aviation seeks rescue deal scandal-hit jet fuel supplier china aviation oil has offered to repay,business,bbc
markets signal brazilian recovery the brazilian stock market has risen to a record high as investors,business,bbc
tough rules for ringtone sellers firms that flout rules on how ringtones and other mobile extras,tech,bbc
iraq advice claim sparks new row the tories say ministers must respond in parliament to claims,politics,bbc
lib dems new election pr chief the lib dems have appointed a senior figure from bt,politics,bbc
bbc poll indicates economic gloom citizens in a majority of nations surveyed in a bbc world,business,bbc
broadband set to revolutionise tv bt is starting its push into television with plans to offer,tech,bbc
domain system opens door to scams a system to make it easier to create website addresses,tech,bbc
attack prompts bush site block the official re-election site of president george w bush is blocking,tech,bbc
young debut cut short by ginepri fifteen-year-old donald young s first appearance in an atp tennis,sport,bbc
speak easy plan for media players music and film fans will be able to control their,tech,bbc
pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to,sport,bbc
playstation 3 processor unveiled the cell processor which will drive sony s playstation 3 will run,tech,bbc
ask jeeves tips online ad revival ask jeeves has become the third leading online search firm,business,bbc
ministers deny care sums wrong ministers have insisted they are committed to free personal care for,politics,bbc
ad firm wpp s profits surge 15% uk advertising giant wpp has posted larger-than-expected annual profits,business,bbc
beckham virus spotted on the net virus writers are trading on interest in david beckham to,tech,bbc
harinordoquy suffers france axe number eight imanol harinordoquy has been dropped from france s squad for,sport,bbc
wall street cheers bush victory the us stock market has closed higher in response to george,business,bbc
halo fans hope for sequel xbox video game halo 2 has been released in the us,tech,bbc
mobiles double up as bus tickets mobiles could soon double up as travel cards with nokia,tech,bbc
davenport dismantles young rival top seed lindsay davenport booked her place in the last 16 of,sport,bbc
fiat chief takes steering wheel the chief executive of the fiat conglomerate has taken day-to-day control,business,bbc
mourinho expects fight to finish chelsea manager jose mourinho expects the champions league clash with barcelona,sport,bbc
tory stalking horse meyer dies sir anthony meyer the tory backbencher who challenged margaret thatcher for,politics,bbc
boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to,sport,bbc
brown outlines third term vision gordon brown has outlined what he thinks should be the key,politics,bbc
campese berates whingeing england former australian wing david campese has told england to stop whingeing in,sport,bbc
howard s unfinished business he s not finished yet whispered the conservative party person as your,politics,bbc
edu describes tunnel fracas arsenal s edu has lifted the lid on the scenes that followed,sport,bbc
emi shares hit by profit warning shares in music giant emi have sunk by more than,business,bbc
what really divides the parties so what is the gap between labour and the tories nowadays,politics,bbc
tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid,sport,bbc
injury sidelines philippoussis mark philippoussis withdrew from the sydney international tennis tournament as expected on sunday,sport,bbc
lse doubts boost bidders shares shares in deutsche boerse have risen more than 3% after a,business,bbc
minister digs in over doping row the belgian sports minister at the centre of the svetlana,sport,bbc
beckham relief as real go through david beckham expressed his relief at real madrid s passage,sport,bbc
hewitt fights back to reach final lleyton hewitt kept his dream of an australian open title,sport,bbc
iran jails blogger for 14 years an iranian weblogger has been jailed for 14 years on,tech,bbc
broadband takes on tv viewing the number of europeans with broadband has exploded over the past,tech,bbc
faith schools citizenship warning schools must improve the quality of citizenship lessons - or social cohesion,politics,bbc
british library gets wireless net visitors to the british library will be able to get wireless,tech,bbc
ore costs hit global steel firms shares in steel firms have dropped worldwide amid concerns that,business,bbc
uk young top euro earnings league british children enjoy the highest average annual income in europe,business,bbc
almagro continues spanish surge unseeded nicolas almagro became the fifth spaniard to reach the last eight,sport,bbc
robinson out of six nations england captain jason robinson will miss the rest of the six,sport,bbc
mourinho takes swipe at arsenal chelsea boss jose mourinho has attempted to pile the pressure on,sport,bbc
us bank in $515m sec settlement five bank of america subsidiaries have agreed to pay a,business,bbc
parties plans for council tax anger at council tax rises spilled over into mass protests in,politics,bbc
fannie mae should restate books us mortgage company fannie mae should restate its earnings a move,business,bbc
apple laptop is greatest gadget the apple powerbook 100 has been chosen as the greatest gadget,tech,bbc
s korea spending boost to economy south korea will boost state spending next year in an,business,bbc
iaaf awaits greek pair s response kostas kenteris and katerina thanou are yet to respond to,sport,bbc
at a glance: tory health checks the uk opposition conservatives have unveiled plans to introduce health,politics,bbc
hacker threat to apple s itunes users of apple s music jukebox itunes need to update,tech,bbc
lewis-francis turns to christie mark lewis-francis has stepped up his preparations for the new season by,sport,bbc
act on detention ruling uk urged the government must act quickly on the law lords ruling,politics,bbc
algeria hit by further gas riots algeria suffered a weekend of violent protests against government plans,business,bbc
format wars could confuse users technology firms sony philips matsushita and samsung are developing a common,tech,bbc
bush to outline toughest budget president bush is to send his toughest budget proposals to date,business,bbc
firefox browser takes on microsoft microsoft s internet explorer has a serious rival in the long-awaited,tech,bbc
eu software patent law faces axe the european parliament has thrown out a bill that would,tech,bbc
ea to take on film and tv giants video game giant electronic arts (ea) says it,tech,bbc
davenport puts retirement on hold lindsay davenport has put any talk of retirement on hold after,sport,bbc
xbox 2 may be unveiled in summer details of the next generation of microsoft s xbox,tech,bbc
watchdog probes e-mail deletions the information commissioner says he is urgently asking for details of cabinet,politics,bbc
pakistani women must not hide hiding women away in the home hidden behind veils is a,politics,bbc
bargain calls widen softbank loss japanese communications firm softbank has widened losses after heavy spending on,business,bbc
lacroix label bought by us firm luxury goods group lvmh has sold its loss-making christian lacroix,business,bbc
text message record smashed uk mobile owners continue to break records with their text messaging with,tech,bbc
london irish 19-33 wasps wasps made light of the absence of several internationals to sink london,sport,bbc
o leary agrees new villa contract aston villa boss david o leary signed a three-and-a-half year,sport,bbc
bank set to leave rates on hold uk interest rates are set to remain on hold,business,bbc
hollywood campaign hits websites movie studio efforts to stop pirated films being shared on peer-to-peer networks,tech,bbc
howard truanted to play snooker conservative leader michael howard has admitted he used to play truant,politics,bbc
yahoo celebrates a decade online yahoo one of the net s most iconic companies is celebrating,tech,bbc
wright-phillips to start on right england coach sven-goran eriksson has revealed shaun wright-phillips will start against,sport,bbc
file-swappers ready new network legal attacks on websites that help people swap pirated films have forced,tech,bbc
diageo to buy us wine firm diageo the world s biggest spirits company has agreed to,business,bbc
china blocks google news site china has been accused of blocking access to google news by,tech,bbc
ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from,sport,bbc
cars pull down us retail figures us retail sales fell 0.3% in january the biggest monthly,business,bbc
india s rupee hits five-year high india s rupee has hit a five-year high after standard,business,bbc
who do you think you are the real danger is not what happens to your data,tech,bbc
fed chief warning on us deficit federal reserve chairman alan greenspan has warned that allowing huge,business,bbc
verizon seals takeover of mci verizon has won a takeover battle for us phone firm mci,business,bbc
petrol duties frozen brown says chancellor gordon brown has announced a freeze on fuel duty in,politics,bbc
ink helps drive democracy in asia the kyrgyz republic a small mountainous state of the former,tech,bbc
yahoo moves into desktop search internet giant yahoo has launched software to allow people to search,tech,bbc
hodges announces rugby retirement scarlets and usa eagles forward dave hodges has ended his playing career,sport,bbc
blair rejects iraq advice calls tony blair has rejected calls for the publication of advice on,politics,bbc
us state acts to stop spammers us state texas has filed a lawsuit against two men,tech,bbc
paris promise raises welsh hopes has there been a better six nations match than saturday s,sport,bbc
yukos accused of lying to court russian oil firm yukos lied to a us court in,business,bbc
fresh hope after argentine crisis three years after argentina was hit by a deadly economic crisis,business,bbc
us trade gap ballooned in october the us trade deficit widened by more than expected in,business,bbc
barcelona title hopes hit by loss barcelona s pursuit of the spanish title took a blow,sport,bbc
gardener wins double in glasgow britain s jason gardener enjoyed a double 60m success in glasgow,sport,bbc
white prepared for battle tough-scrummaging prop julian white is expecting a resurgent wales to give him,sport,bbc
retail sales show festive fervour uk retail sales were better than expected in november as christmas,business,bbc
labour chooses manchester the labour party will hold its 2006 autumn conference in manchester and not,politics,bbc
reyes tricked into real admission jose antonio reyes has added to speculation linking him with a,sport,bbc
tobacco giants hail court ruling us tobacco companies have welcomed an appeal court s decision to,business,bbc
tulu to appear at caledonian run two-time olympic 10 000 metres champion derartu tulu has confirmed,sport,bbc
blair and blunkett sheffield trip tony blair is to join home secretary david blunkett in a,politics,bbc
sydney return for henin-hardenne olympic champion justine henin-hardenne will return to action in january s sydney,sport,bbc
capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the,sport,bbc
asian banks halt dollar s slide the dollar regained some lost ground against most major currencies,business,bbc
giggs handed wales leading role ryan giggs will captain wales as he wins his 50th cap,sport,bbc
henman overcomes rival rusedski tim henman saved a match point before fighting back to defeat british,sport,bbc
blair moves to woo jewish voters tony blair has pledged to never ever ever attack tory,politics,bbc
camera phones are must-haves four times more mobiles with cameras in them will be sold in,tech,bbc
broadband fuels online change fast web access is encouraging more people to express themselves online research,tech,bbc
uk s useless quangos under fire the uk has 529 quangos financed with billions of pounds,politics,bbc
china to overtake us net use the chinese net-using population looks set to exceed that of,tech,bbc
clijsters set for february return tennis star kim clijsters will make her return from a career-threatening,sport,bbc
houllier praises benitez regime former liverpool manager gerard houllier has praised the work of his anfield,sport,bbc
spam e-mails tempt net shoppers computer users across the world continue to ignore security warnings about,tech,bbc
drive to save festive holidays efforts are being made to protect workers days off on christmas,politics,bbc
gebrselassie in london triple bid double olympic 10 000m champion haile gebrselassie will race in the,sport,bbc
slovakia seal hopman cup success slovakia clinched the hopman cup for the second time by beating,sport,bbc
tories outlining policing plans local communities would be asked to go to the polls to elect,politics,bbc
joke e-mail virus tricks users a virus that disguises itself as a joke is spreading rapidly,tech,bbc
irish company hit by iraqi report shares in irish oil company petrel resources have lost more,business,bbc
brown outlines third term vision gordon brown has outlined what he thinks should be the key,politics,bbc
russia wto talks make progress talks on russia s proposed membership of the world trade organisation,business,bbc
rings of steel combat net attacks gambling is hugely popular  especially with tech-savvy criminals.,tech,bbc
keegan hails comeback king fowler manchester city boss kevin keegan has praised striker robbie fowler for,sport,bbc
tech helps disabled speed demons an organisation has been launched to encourage disabled people to get,tech,bbc
mci shareholder sues to stop bid a shareholder in us phone firm mci has taken legal,business,bbc
howard dismisses tory tax fears michael howard has dismissed fears from some conservatives that his plans,politics,bbc
hyundai to build new india plant south korea s hyundai motor has announced that it plans,business,bbc
kilroy launches veritas party ex-bbc chat show host and east midlands mep robert kilroy-silk has said,politics,bbc
blair up for it ahead of poll tony blair says his personal standing in the eyes,politics,bbc
ireland v usa (sat) saturday 20 november lansdowne road dublin 1300 gmt the irish coach knows,sport,bbc
freeze on anti-spam campaign a campaign by lycos europe to target spam-related websites appears to have,tech,bbc
europe blames us over weak dollar european leaders have openly blamed the us for the sharp,business,bbc
retirement age could be scrapped the myth that ageing is a barrier to contributing to society,politics,bbc
deutsche boerse set to woo lse bosses of deutsche boerse and the london stock exchange are,business,bbc
uk firm faces venezuelan land row venezuelan authorities have said they will seize land owned by,business,bbc
disney backs sony dvd technology a next generation dvd technology backed by sony has received a,tech,bbc
us peer-to-peer pirates convicted the first convictions for piracy over peer-to-peer networks have been handed down,tech,bbc
dollar slides ahead of new year the us dollar has hit a new record low against,business,bbc
brown s poll campaign move denied the government has denied reports that gordon brown is preparing,politics,bbc
a question of trust and technology a major government department is without e-mail for a week,tech,bbc
iraq to invite phone licence bids iraq is to invite bids for two telephone licences saying,business,bbc
digital guru floats sub-$100 pc nicholas negroponte chairman and founder of mit s media labs says,tech,bbc
souness backs smith for scotland graeme souness believes walter smith would be the perfect choice to,sport,bbc
house prices show slight increase prices of homes in the uk rose a seasonally adjusted 0.5%,business,bbc
guantanamo four free in weeks all four britons held by the us in guantanamo bay will,politics,bbc
police chief backs drinking move a chief constable has backed the introduction of 24-drinking saying police,politics,bbc
digital guru floats sub-$100 pc nicholas negroponte chairman and founder of mit s media labs says,tech,bbc
super union merger plan touted two of britain s big trade unions could merge to form,politics,bbc
peace demo appeal rejected peace protestors have lost a landmark appeal over police actions in stopping,politics,bbc
liverpool revel in night of glory liverpool manager rafael benitez said their qualification for the next,sport,bbc
troubled marsh under sec scrutiny the us stock market regulator is investigating troubled insurance broker marsh,business,bbc
making your office work for you our mission to brighten up your working lives continues -,business,bbc
tsunami won t divert africa aid uk aid to help the victims of the asian tsunami,politics,bbc
labour attacked on howard poster labour has been accused of using anti-semitic images in posters which,politics,bbc
hitachi unveils fastest robot japanese electronics firm hitachi has unveiled its first humanoid robot called emiew,tech,bbc
security warning over fbi virus the us federal bureau of investigation is warning that a computer,tech,bbc
could yukos be a blessing in disguise other things being equal the notion of entrepreneurs languishing,business,bbc
optimism remains over uk housing the uk property market remains robust despite the recent slowdown according,business,bbc
crucial decision on super-casinos a decision on whether to allow westminster to legislate on super-casinos is,politics,bbc
woodward eyes brennan for lions toulouse s former irish international trevor brennan could be one of,sport,bbc
david blunkett in quotes david blunkett - who has resigned as home secretary - built his,politics,bbc
games help you learn and play god games in which players must control virtual people and,tech,bbc
parmar ruled out of davis cup tie a knee injury has forced arvind parmar out of,sport,bbc
russian ex-spy on hunger strike an ex-russian intelligence officer who risked his life spying for mi6,politics,bbc
bush budget seeks deep cutbacks president bush has presented his 2006 budget cutting domestic spending in,business,bbc
clyde 0-5 celtic celtic brushed aside clyde to secure their place in the scottish cup semi-final,sport,bbc
freeze on anti-spam campaign a campaign by lycos europe to target spam-related websites appears to have,tech,bbc
