text,label
"We #39;ve convicted al-Qaida supporters, says Iran Iran acknowledged for the first time today it has",politics
Anthrax Kills 120 Hippos in Ugandan National Park (Reuters) Reuters,tech
"Bush Pledges Safer World, Resumes Stumping (AP) AP",politics
HP  amp; Intel Team Up on Servers Intel Corp and Hewlett-Packard Co.,tech
Middle East ; Iran nuclear deal #39;tied to US election #39; quot;This is the beginning of,politics
China Plans Renovation of Forbidden City (AP) AP,politics
Nokia Targets Fake Phone Batteries Nokia has launched a program to help consumers spot counterfeit mobile,tech
"People Are Human-Bacteria Hybrid A group of British scientists believes people should be viewed as 'superorganisms,'",tech
"VeriSign Accelerates DNS Verisign (Quote, Chart) has launched its new name server initiative, a move designed",tech
"Basketball: U.S., Russia Set for Semifinal Showdown  ATHENS (Reuters)",sport
"Microsoft extends SQL Server intelligence Microsoft has extended the reach of its business data platform, demonstrating",tech
Cards Use 'Small Ball' to Beat Dodgers (AP) AP,sport
Tour to Honor U.S. Women's Soccer Team (AP) AP,sport
"US posts warning for Nordic, Baltic states The US government has warned its citizens in Nordic",politics
Donors offer extra \$40m to fight locusts in west Africa ROME,politics
"Jayson Williams works out with Cavaliers Jayson Williams, acquitted in April of aggravated manslaughter in the",sport
New 'yob' targets to be unveiled Fifty new areas which will get special help in fighting,politics
Ohio Judge Rules Punch-Card Voting Fair (AP) AP,politics
Gasquet reaches first ATP Tour final in Metz France #39;s Richard Gasquet brushed aside American Jeff,sport
UN: Explosives Missing from Former Iraq Atomic Site Nearly 380 tons of explosives are missing from,politics
Tech faces talented So.,sport
O #39;Connor turns down award Showjumping gold medal winner Cian O #39;Connor has decided not to,sport
Microsoft Shares Office Source Code Software giant hopes to convince governments that its products are secure.,tech
"Utah, Pittsburgh to Play in Fiesta Bowl (AP) AP",sport
Expanding economy confirmed With the economy continuing to rank as a top factor in the upcoming,business
and the world of hurt It breaks your heart.,sport
Former Steeler killed in crash Former Steelers offensive lineman Justin Strzelczyk died yesterday morning in a,sport
"Japan July jobless rate 4.9 percent, analysts see no economic stumble (AFP) AFP",business
Apple Threatens Owner of iTunes Domain Apple has taken steps to take ownership of the iTunes.co.uk,tech
"Mike Weir plods along and hangs onto lead at Bell Canadian Open OAKVILLE, Ont. (CP)",sport
Telekom Austria posts better than expected results Telekom Austria AG has posted better than expected financial,tech
Congressman Pledges to Set Aside Partisanship as C.I.A.,politics
Mariners send journeyman lefty Williams to Padres The 29-year-old Williams was 7-2 for Triple-A Tacoma and,sport
China to crack down on telephone sex BEIJING (Reuters),tech
"Airbus shareholders OK A350 Airbus has received approval from its shareholders, EADS and BAE Systems to",business
Will Pruett come down on Herd now?,sport
AUSTRALIA PRESS: Murdoch Drums Up Support For US Move SYDNEY (Dow Jones)--News Corp.,business
Hungary Bans Paprika; National Dish a Health Risk  BUDAPEST (Reuters),politics
Anheuser-Busch To Debut Souped-Up Beer Anheuser-Busch is looking to add some oomph to the beer market.,business
Apple to Announce Special Edition U2 iPod Forbes reporter Matthew Miller reported Monday that sources close,tech
"Google Envy Is Fomenting Search Wars Propelled by Google envy, new players and Internet industry giants",business
Verizon picks Motorola for video on fiber Verizon Communications is stepping further into video as a,tech
"Jeanne Hits Fla. Coast With 120-Mph Winds STUART, Fla.",politics
"Congress Sends Bush Tax Cut Bill, Victory WASHINGTON",politics
Researchers Develop 3-D Phone Technology (AP) AP,tech
Pigeons 'sense magnetic field' Homing pigeons use the Earth's magnetic field to navigate their way home,politics
UPDATE 2-Australia heading for victory as Kiwis collapse Australia ripped through the top of the New,sport
Trade 'can resolve Kashmir issue' India's foreign minister says improved trade ties with Pakistan could spur,business
Raptors hand Utah first loss The Raptors posted a stunning victory against a previously undefeated opponent,sport
"Florida Starts Massive Hurricane Cleanup PUNTA GORDA, Fla.",politics
"Suicide Bomber Targets Baghdad Police BAGHDAD, Iraq",politics
Matildas #39;salvage late draw with US ATHENS: Australia #39;s Matildas salvaged a 1-1 draw against the,sport
"U.S. Ryder Cup Team Losing a Fight for Survival  BLOOMFIELD HILLS, Michigan (Reuters)",sport
Bush to Meet With Latin American Allies President Bush is tacking on visits with two Latin,politics
Wages rise more than expected Wages rose faster than expected in the June-August period but analysts,business
"Blast at Police Post in Nassiriya, Three Dead  NASSIRIYA, Iraq (Reuters)",politics
"An Eye on Movie Theater Pirates Eager to curb camcorder piracy at the cinema, Hollywood studios",tech
Bofra exploit ticks away at Microsoft After more than two weeks of investigating the IFRAME Bofra,tech
Briefly: Dell updates low-end server line roundup Plus: SAS Institute lures former Red Hat CFO...McAfee CFO,tech
Gene Blocker Turns Monkeys Into Workaholics,tech
"Harry hurries back home after attack LONDON, Nov. 26.",politics
"UPDATE 1-Sola says agrees to be sold for \$815 mln Sola International (SOL.N: Quote, Profile, Research)",business
Food running so low aboard station that crew ordered to cut back &lt;b&gt;...&lt;/b&gt; Food is running,tech
Militants Holding French Journalists Demand End to Ban on Scarves A militant Iraqi Islamic group holding,politics
Charles Schwab to expand online price cuts to include all customers Slumping stockbroker Charles Schwab Corp.,business
"Medford's 4-year run in GBL ends For the last four years, the Medford boys' soccer team",sport
"Rangers 10, Blue Jays 7 David Dellucci hit a go-ahead RBI single in the eighth inning,",sport
Macau card up Packer sleeve KERRY Packer has taken a first step to forging a global,business
"Microsoft wins 500m NHS IT contract The worlds largest software supplier, Microsoft, has won a nine-year",tech
Stem Cells to the Rescue A new study shows that embryonic stem cells can heal defective,tech
Another oil-food scandal emerges UN Secretary-General Kofi Annan said yesterday he was disappointed in his son,politics
"Flight 001 To Outer Space Now Boarding MOJAVE, Calif., Oct.",tech
Toshiba Wins Support for HD DVD from 4 Film Studios (Reuters) Reuters,tech
"Boeing #39;s quarterly profits increase 78 per cent, raises 2004 &lt;b&gt;...&lt;/b&gt; US aerospace giant Boeing Co.",business
Kerry Chides Bush on Assault Weapons Ban WASHINGTON,politics
"Oil prices above \$42 pb on lower US supplies NEW YORK, December 15 (newratings.com)",business
"Torvalds comes out against EU patent directive In the statement, issued Tuesday, the three developers argued",tech
Al Qaeda Using Militants Against Musharraf  KARACHI (Reuters),politics
Green  amp; Mean Avnish Bhatnagar has always lusted after fast cars like racy BMWs.,tech
State of the world #39;s amphibians bleak: report WASHINGTON,tech
Baffling day in baffling race It was another glorious opportunity for the Giants to provide an,sport
Smith Inactive for Arizona Vs. Lions (AP) AP,sport
"Growth Rate in Health Cost to Employers Slowed in '04 After years of double-digit cost increases,",business
Iraqi Deputy Prime Minister Pleads for Aid TOKYO,politics
Coles trumps rival Woolworth's bid for pub and gaming group (AFP) AFP,business
"Intel and Clearwire forge WiMAX alliance Two of the most powerful forces behind WiMAX, Intel and",tech
"RocketInfo Partners with Canadian Press, Helps Nascar RocketInfo Partners with Canadian Press, Helps Nascar\\Rocketinfo Inc., news",tech
Chinese crash black boxes found The flight recorders from a plane that crashed in northern China,politics
Treasury secretary expects Michigan to remain a manufacturing &lt;b&gt;...&lt;/b&gt; US Treasury Secretary John Snow said he,business
80 million more PCs in India by 2010!,business
"Nine Bodies Found in Cancun The bodies of nine people, including three federal agents, were discovered",politics
CA #39;s Open-Source Ingres Now Available The company is shipping the open-source database for Linux and,tech
"RUSSIA * LEFTISTS * RALLY MOSCOW, November 7 (RIA Novosti)",politics
"OPEC wrestles over output increase as hurricane, Iraq attacks lift prices OPEC members were divided yesterday",business
