text,label,source,group
Mexico's President Fires Mexico City Chief (AP) AP,politics,AG,AG-politics
Iraqis can resume normal lives: PM BAGHDAD #39;S international airport would reopen to civilian traffic after,politics,AG,AG-politics
France faces war in former Africa colony FRANCE was on the brink of war with one,politics,AG,AG-politics
Karzai Camp Smells Victory Early in Afghan Poll  KABUL (Reuters),politics,AG,AG-politics
Dutch violence ends with the arrest of two Dutch police arrested two people after a violent,politics,AG,AG-politics
Kerry Hammers Away on Explosives as Bush Shifts Focus Both candidates are making their final blitzes,politics,AG,AG-politics
N.,politics,AG,AG-politics
Cambodia #39;s king abdicates as new political crisis looms Cambodia #39;s King Norodom Sihanouk announced his,politics,AG,AG-politics
"I helped free hostages, says ex-BBC cameraman A Kabul-based British hotelier and former BBC cameraman says",politics,AG,AG-politics
UAE wins first Olympic gold Ahmed al-Maktoum becomes the first Olympic medallist from the UAE with,politics,AG,AG-politics
"Citing sex trade, US to oppose loans to Venezuela WASHINGTON -- President Bush has ordered a",politics,AG,AG-politics
"Prince Bernhard, Father of Dutch Queen, Dies at 93 Prince Bernhard, a bon vivant and outspoken",politics,AG,AG-politics
Bihar doctors rally over killing Striking doctors in the northern Indian state of Bihar are due,politics,AG,AG-politics
"GM to Cut 12,000 Jobs in Europe Revamp General Motors Europe will slash its workforce by",politics,AG,AG-politics
"After squeezing rebels, India's northeast ignites Over the weekend, a series of attacks killed more than",politics,AG,AG-politics
U.S. Army Soldier in New Round of Hearings (AP) AP,politics,AG,AG-politics
U.S. Tribunal Charges Suspected Al Qaeda Accountant (Reuters) Reuters,politics,AG,AG-politics
House Blocks Court on Pledge Case Rulings (AP) AP,politics,AG,AG-politics
"Global Warming Treaty Gets Russia #39;s OK Russia #39;s permanent representative to the United Nations, Andrey",politics,AG,AG-politics
China Pledges Stable Policies  BEIJING (Reuters),politics,AG,AG-politics
Peacekeepers roll though Haitian capital amid fears of violence on &lt;b&gt;...&lt;/b&gt; UN peacekeepers in armored vehicles,politics,AG,AG-politics
Taliban Attack Afghan Government Office 29 September 2004 -- Afghan police said Taliban militants attacked an,politics,AG,AG-politics
Putin: Don #39;t meddle in Ukraine Ankara,politics,AG,AG-politics
Iraqi gunmen kill foreigners in car and cut head off one of their &lt;b&gt;...&lt;/b&gt; GUNMEN attacked,politics,AG,AG-politics
Car bombskill 26 in Baghdad and Mosul BAGHDAD Three powerful car bombs exploded in Baghdad and,politics,AG,AG-politics
Adobe patches holes in Acrobat Reader Adobe has patched two bugs in its Acrobat Reader application,tech,AG,AG-tech
Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one,tech,AG,AG-tech
Future climate talks deal agreed The EU and US reach a compromise after marathon talks over,tech,AG,AG-tech
Samsung Pips Motorola in Cellphone Ranking  AMSTERDAM/SEOUL (Reuters),tech,AG,AG-tech
"Restoring file-sharing #39;s good name Not too many companies that were around during the dawn of the personal computer revolution are still in business. Intel, Apple Computer, Microsoft, IBM",tech,AG,AG-tech
FCC frees up spectrum for 3G Regulators set aside additional bandwidth for third-generation cell phones and,tech,AG,AG-tech
FBI supplier readies secure Linux The new version of the operating system was built by Trusted,tech,AG,AG-tech
"Symantec: Viruses Aimed at Windows Grow in Number According to the Symantec report, there is a",tech,AG,AG-tech
Does the palmOne Treo 650 Replace Treo 600?,tech,AG,AG-tech
"Technical Problems Scrub Delta Four Launch CAPE CANAVERAL, Fla.",tech,AG,AG-tech
Compuware asks court to punish IBM Software maker Compuware has charged IBM with keeping back key,tech,AG,AG-tech
Mozart's relatives face DNA tests The bodies of some of Mozart's relatives are exhumed for DNA,tech,AG,AG-tech
Check Point's optimistic pessimist Check Point Software Technology's Gil Shwed weighs in on who's winning the,tech,AG,AG-tech
"Microsoft patent is rejected, but company vows to fight back The US Patent and Trademark Office",tech,AG,AG-tech
Internet Giants File 7 Suits Aimed at Stopping Spam Four leading Internet service providers announced yesterday,tech,AG,AG-tech
"3amLabs delivers free remote access management tool Bolstering its lineup of remote access management offerings, 3amLabs",tech,AG,AG-tech
Bofra exploit hits our ad serving supplier &lt;strong&gt;Important notice&lt;/strong&gt; Some &lt;cite&gt;Reg&lt;/cite&gt; readers may be infected,tech,AG,AG-tech
Sony to launch its first MP3 hard-disk music player Sony is broadening support for the MP3,tech,AG,AG-tech
Why The Open-Source Model Can Work In India (TechWeb) TechWeb,tech,AG,AG-tech
'Frog's glue' could mend knees A sticky substance from the skin of frogs could be used,tech,AG,AG-tech
Yahoo Builds New Mobile Portal Yahoo!,tech,AG,AG-tech
Euro Disney Eyes  #36;180 Mln 'Tower of Terror'-Source (Reuters) Reuters,tech,AG,AG-tech
Apple #39;s new iMac makes delayed debut Apple Computer Inc.,tech,AG,AG-tech
Holiday Forecast: Continued Growth Of Online Sales (washingtonpost.com) washingtonpost.com,tech,AG,AG-tech
"Limited EyeToy Support in GT4 November 09, 2004",tech,AG,AG-tech
Greeks deny failed drug test reports ATHENS (Reuters),sport,AG,AG-sport
Schumacher wins Japanese Grand Prix Michael Schumacher drove his Ferrarito an easy victory in the Japanese,sport,AG,AG-sport
Lots of Points for Top-Tier NFL Teams (AP) AP,sport,AG,AG-sport
"Phelps, Thorpe Face Dutch Threat  ATHENS (Reuters)",sport,AG,AG-sport
Pats bounce back behind Vinatieri #39;s TD pass ST.,sport,AG,AG-sport
"Compete against your friends, SI experts and celebrities in this &lt;b&gt;...&lt;/b&gt; The Tennessee Titans will have",sport,AG,AG-sport
California dreamin'?,sport,AG,AG-sport
